event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
2026-04-24 11:50:49.9630000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|39|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id|NULL|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id
2026-04-24 11:50:49.9670000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO|NULL|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO
2026-04-24 11:50:57.5020000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 11:50:57.5290000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_Rooms where room_no='306'|NULL|select * from HT_Rooms where room_no='306'
2026-04-24 11:50:59.2660000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_Rooms where Room_no='306'|NULL|select * from HT_Rooms where Room_no='306'
2026-04-24 11:50:59.2950000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|29|select top 1 cin_no,cin_cust_name from View_CheckIn_Ds where Cin_room_status='Check-Out' and cin_room_no='306' order by cin_room_out desc|NULL|select top 1 cin_no,cin_cust_name from View_CheckIn_Ds where Cin_room_status='Check-Out' and cin_room_no='306' order by cin_room_out desc
2026-04-24 11:50:59.2960000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|update HT_Rooms set Room_Clean='no',Room_Clean_Time='' where id=6|NULL|update HT_Rooms set Room_Clean='no',Room_Clean_Time='' where id=6
2026-04-24 11:50:59.2970000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_Rooms where room_no='306'|NULL|select * from HT_Rooms where room_no='306'
2026-04-24 11:50:59.2970000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|INSERT INTO HT_Housewife ([h_name],[h_room],[h_date],[h_note],[h_cin],[h_cin_name]) VALUES ('Admin', '306', '4/24/2026 6:50:59 PM', '','CH26-005159','<REDACTED-real-guest-name>')|NULL|INSERT INTO HT_Housewife ([h_name],[h_room],[h_date],[h_note],[h_cin],[h_cin_name]) VALUES ('Admin', '306', '4/24/2026 6:50:59 PM', '','CH26-005159','<REDACTED-real-guest-name>')
2026-04-24 11:50:59.3030000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|5|select id from HT_POWER_LOG where room_no='306' and ROOM_POWER_END_BY=''|NULL|select id from HT_POWER_LOG where room_no='306' and ROOM_POWER_END_BY=''
2026-04-24 11:51:00.1480000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * From HT_Rooms  order by room_NO|NULL|select * From HT_Rooms  order by room_NO
2026-04-24 11:51:00.4650000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type|NULL|select book_room_type,sum(book_room_num) as num from View_Book_Ds2 where book_status='จอง' and (Book_Date_in >= '4/24/2026 00:00:00' or Book_date_out>='4/24/2026 23:59:59')  group by book_room_type
2026-04-24 11:51:00.4650000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|316|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc|NULL|select * from View_Room_All where room_date='4/24/2026' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก') order by id desc
2026-04-24 11:51:00.4850000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|19|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select cin_no,cin_room_all,Cin_room_no,Total_Price_Balance,total_price_vat from View_CheckIn_Ds where (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 11:51:00.4860000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'|NULL|select SMS_Room,SMS_ID from HT_Room_SMS where SMS_Readed='no'
2026-04-24 11:51:00.6460000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|160|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc|NULL|select * from View_Room_All where cin_room_status='เข้าพัก' order by cin_date_out desc
2026-04-24 11:51:00.6470000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_SET_RoomType|NULL|select * from HT_SET_RoomType
2026-04-24 11:51:01.0610000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|39|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id|NULL|select * from View_Book_Date where Book_Status='จอง' and Book_date_ds='4/24/2026' order by id
2026-04-24 11:51:01.0650000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO|NULL|select SMS_TO,count(SMS_ID) as num from HT_EMP_SMS where SMS_Readed='no' group by SMS_TO
